train_loss,valid_loss
4.5877257734537125,4.599966654459635
4.39227993786335,4.554354863484701
4.330729424953461,4.549604545593262
4.268641531467438,4.398878542582194
4.214394718408585,4.513042770385742
4.173853278160095,4.407281962076823
4.110402598977089,4.317506472269694
4.042328752577305,4.251810805002848
4.012968428432941,4.205747453053792
3.9543585181236267,4.154637945810954
3.9234896078705788,3.9230224278767905
3.875121124088764,3.679280185699463
3.8200359269976616,3.6309589920043943
3.761824421584606,3.5883939520517987
3.7129572182893753,3.480602956136068
3.628137983381748,3.4983086064656574
3.606191247701645,3.538792401631673
3.572862535715103,3.3428449567159015
3.470915287733078,3.299854605356852
3.449476532638073,3.3181020825703937
3.4073769748210907,3.1876973164876303
3.353038877248764,3.3157399838765462
3.3032200932502747,3.2919694697062174
3.2575855255126953,3.05432563273112
3.2071035504341125,3.2768833503723145
3.1647520437836647,2.986844497680664
3.1474864780902863,3.175699782689412
3.121149830520153,3.1093467114766438
3.0543909668922424,2.8200474033355714
3.054142750799656,2.9724113229115803
2.9692481234669685,2.91513516553243
2.95150575786829,3.0356844685872395
2.9306283965706825,2.786385124206543
2.911841243505478,2.852753615061442
2.8545723780989647,2.8422068004608154
2.8600887209177017,2.741799486160278
2.8154996186494827,2.9214875729878744
2.773748852312565,2.7724903024037677
2.772038735449314,2.622495860417684
2.7506468892097473,2.534182898839315
2.6872067973017693,2.6576751823425293
2.704431377351284,2.5042763601938884
2.677622154355049,2.674634579340617
2.6301461458206177,2.4738742396036786
2.6470604836940765,2.5654522902170815
2.6416128501296043,2.685089450836182
2.5772594287991524,2.602572265625
2.566685765981674,2.5317192509969075
2.606286145746708,2.5094283930460612
2.551641248166561,2.6045269451141357
2.5245558470487595,2.4207562217712404
2.548238053917885,2.4542881202697755
2.461616560816765,2.4074482014973957
2.496004968881607,2.5657264410654705
2.5254378244280815,2.4227115332285565
2.4560417234897614,2.39792725054423
2.4628535360097885,2.476560472488403
2.4996518939733505,2.3470419998168945
2.4165769666433334,2.469550671895345
2.426628865301609,2.3432022495269775
2.4398394748568535,2.372738129933675
2.3954510763287544,2.4259096202850343
2.3950829580426216,2.259049139022827
2.412388324737549,2.337521595001221
2.371408589184284,2.3376879164377846
2.369273863732815,2.2950659669240316
2.3717096969485283,2.306333028793335
2.361358590424061,2.495986167271932
2.355055309832096,2.537464554468791
2.367204323410988,2.5160073928833007
2.307867154479027,2.2958184960683186
2.3264247104525566,2.381634572982788
2.3489633947610855,2.2473220818837483
2.3526180535554886,2.2137171338399253
2.2795295417308807,2.407199804941813
2.312219016253948,2.275248344421387
2.2767781540751457,2.231973034540812
2.290421597659588,2.4370525449117024
2.325075387954712,2.247953726450602
2.29732309281826,2.381247812271118
2.260490097105503,2.4153523616790773
2.2679026648402214,2.3271804574330646
2.2843276262283325,2.2960693435668946
2.254184991121292,2.226133129119873
