train_loss,valid_loss
4.45789809525013,4.632574287414551
4.246288673952222,4.49075404103597
4.0792498383671045,4.129949578603108
3.933598581701517,3.8713250528971352
3.7721296958625317,3.684508061726888
3.6339844465255737,3.7642842674255372
3.523984633386135,3.715926861445109
3.387351093813777,3.511485656738281
3.285515895113349,3.5268847160339356
3.1898967400193214,3.0207114168802898
3.108692206442356,3.180672686258952
3.027808342128992,3.013039693196615
2.948368653655052,3.075368569691976
2.9069307949393988,2.873694527943929
2.8183246087282896,2.778581641515096
2.7685921378433704,2.799684008916219
2.743550892919302,2.732572224299113
2.668634930625558,2.903062121073405
2.6565302796661854,2.607362778345744
2.6003307420760393,2.6181891136169435
2.5538836121559143,2.491503071467082
2.52723191305995,2.5083595129648844
2.479577189311385,2.464775624593099
2.4769865199923515,2.4806627095540366
2.427844077348709,2.6287445532480875
2.3911838494241238,2.544944922129313
2.3658030219376087,2.5615463002522785
2.350606804713607,2.5841713740030925
2.3131241351366043,2.4552022641499835
2.292486250400543,2.3595582046508787
2.2379114320501685,2.5409031842549643
2.2519113905727863,2.4456546738942464
2.225493460893631,2.5905254834493
2.1977000776678324,2.6242158438364664
2.1673021791502833,2.4589000809987387
2.1356968972831964,2.4880221112569174
2.138188830576837,2.3442560698191324
2.1355485199019313,2.3600213527679443
2.084763962775469,2.3574835917154946
2.0674704052507877,2.536533955891927
2.0517334043979645,2.421061943054199
2.050572467967868,2.4531821829477947
2.0385823864489794,2.480309597015381
2.0372499646618962,2.344173465092977
1.993354863487184,2.43274640083313
1.9896803349256516,2.365382694244385
1.9670355347916484,2.41064975865682
1.9492343114688993,2.3799139696757
1.9524741480126977,2.3708133926391604
1.9095551744103432,2.3293767992655434
1.9210305819287896,2.3612252871195474
1.8990789130330086,2.3580188121795653
1.9032624689862132,2.3303267084757486
1.8686399143189192,2.5307867584228516
1.8474865285679698,2.362860732396444
1.8792329737916589,2.371465250651042
1.8590840818360448,2.4398145306905112
1.8134741680696607,2.365685246785482
1.8133420227095485,2.4503273792266844
1.8283094028010964,2.3805119915008546
