id,time,test_loss,epochs,accuracy,width_shift,height_shift,zoom,horizontal_flip,rotation,depth,dense_neurons,init_filters,use_batchnorm,dropout,batch_size,learning_rate,beta1,beta2,max_epochs
1,1587905266.384286,4.598139240264891,11,0.01825,0.12624952154835778,0.13217445564208913,0.2062453462765859,True,11,3,150,28,False,0.3850128758322029,512,0.006727258793617724,0.4749877661796862,0.9793582178621948,200
2,1587906189.967557,4.213465774536133,99,0.1025,0.14729114225866408,0.15314081222534098,0.13306298982486564,False,24,2,111,20,True,0.3968417221655017,512,0.006758609317164236,0.4603200063269403,0.9893591307594826,200
3,1587906843.8689744,3.7578531970977775,74,0.1495,0.10119208781034922,0.14043255133701474,0.2679509466398149,True,24,2,148,23,False,0.4438892826332317,1024,0.009158400528757632,0.5489953307232989,0.9903317727212853,200
4,1587906947.6629074,4.582488021850586,11,0.01375,0.010708228007985966,0.0803883491900883,0.14349286865810434,True,8,2,126,29,False,0.5281898783509633,512,0.009792837698035262,0.4743145091509697,0.9593824426958008,200
5,1587906988.612472,4.603847545623778,4,0.0115,0.17366945894712982,0.036484803010185016,0.07214187230831927,False,9,2,155,27,False,0.3877705184455579,512,0.005894322743703819,0.5095716262781834,0.965949838692392,200
6,1587907842.2330365,2.299419238090515,87,0.40825,0.16454902942541622,0.09843069221355988,0.22147803497015567,False,17,3,131,20,True,0.4109917737159768,1024,0.007243813603215578,0.4899056636480661,0.9687365093301492,200
7,1587908338.979501,4.16635721206665,55,0.11775,0.1468240794224099,0.037949222080351334,0.2508598789062539,False,8,2,104,12,True,0.3680498834463304,512,0.008379950358257443,0.4616089032953331,0.9646911824829656,200
8,1587908844.4796169,4.483668155670166,49,0.03875,0.014823119069408875,0.07544672679597919,0.22428320874977029,True,11,2,107,30,True,0.4216821295009321,512,0.0076703572284426685,0.4721110222328926,0.9994613650953696,200
9,1587909826.1530852,3.796524885177612,107,0.18975,0.09943894010671048,0.0238258899162116,0.2526405201723829,True,27,2,100,31,False,0.4205887408962706,1024,0.009169875373432872,0.4569493303708349,0.9575677348067976,200
10,1587909871.505883,4.60543185043335,4,0.00875,0.07506708875636281,0.17450996299914598,0.06315390936734172,False,18,3,159,12,False,0.4812382991901231,512,0.009284508189029842,0.5450963103733711,0.9878329989961797,200
