id,time,test_loss,epochs,accuracy,depth,dense_neurons,init_filters,use_batchnorm,dropout,batch_size,learning_rate,beta1,beta2,max_epochs
21,1587590993.6250806,2.305554798126221,77,0.41625,3,111,21,True,0.5125415397614022,1024,0.006868688371246427,0.4939153689459139,0.9959785074648516,100
22,1587591131.7927845,2.7848288917541506,43,0.3375,3,158,14,True,0.3778604230539318,512,0.008999729739059013,0.4680250391626969,0.9682313131706322,100
23,1587591371.8814516,2.2892784938812256,63,0.40725,3,137,21,True,0.4473928642558049,512,0.006177078883260042,0.5339377328326727,0.9982343730024208,100
24,1587591435.274704,4.605170249938965,17,0.00825,3,125,13,False,0.4139233412550241,512,0.009307532398080692,0.5023686602087004,0.9898877871085312,100
25,1587591682.88539,2.3399496879577635,49,0.406,3,163,30,True,0.3981742559624794,512,0.0061894386705879,0.4533048793245443,0.9940709244789712,100
26,1587591848.6605394,3.2498557281494143,57,0.25325,2,106,28,False,0.43668807780879626,512,0.00639290295384235,0.5030732861947397,0.9964361663464172,100
27,1587591941.863901,4.518904609680176,15,0.025,3,131,20,True,0.5104443400069594,1024,0.005147407863660804,0.548031257663581,0.9777058585866112,100
28,1587592154.6082368,3.1690640354156496,70,0.26475,2,100,31,False,0.3673852365956243,1024,0.005740447881110224,0.4591537384846177,0.9746559381101292,100
29,1587592205.2197301,4.475686569213867,4,0.034,2,115,30,False,0.5266101308144084,512,0.008636846554421415,0.4713385236696614,0.9726821973207168,100
30,1587592262.3233502,4.605319049835205,4,0.00875,2,110,27,True,0.4891023691382188,512,0.0058697193299440615,0.5059222967679234,0.994920814377312,100
31,1587592434.2560391,2.9416582088470458,65,0.29600000000000004,2,109,18,False,0.4827157085013101,1024,0.006261195353112067,0.5089011900644728,0.9508424711367676,100
32,1587592503.9342608,4.588873924255371,4,0.021,3,124,29,True,0.4535087102555865,512,0.009850687677430685,0.5188674963992401,0.9622831947757041,100
33,1587592591.1817286,4.484518424987793,15,0.0355,2,121,17,True,0.36814549199429547,1024,0.007152511644319903,0.4918402809971694,0.9980285960377664,100
34,1587592949.878148,2.4300466384887693,77,0.40125,3,112,26,True,0.4274695677774562,512,0.0060109856950457076,0.5373555386775777,0.9898966031649068,100
35,1587593093.3856044,3.3518141193389885,58,0.23025,2,121,9,False,0.4222042258441293,1024,0.00855069465878763,0.4794141483009365,0.9809263406862636,100
36,1587593398.1777458,2.4152944202423097,62,0.393,3,142,27,True,0.4659702204104838,1024,0.00807221736998685,0.4740377150021482,0.9821659380542568,100
37,1587593586.8611107,3.8536567993164064,73,0.1925,3,125,8,False,0.3756596369836957,512,0.005661548022637811,0.4987193653730589,0.9682327910814535,100
