id,time,test_loss,epochs,accuracy,depth,dense_neurons,init_filters,use_batchnorm,dropout,batch_size,learning_rate,beta1,beta2,max_epochs
39,1587565955.6645331,4.605180576324463,13,0.00975,2,108,36,False,0.5271651011094535,256,0.016801192707534954,0.5482331798780273,0.9616432814700712,100
40,1587566101.4048207,4.605170249938965,11,0.00825,3,204,56,True,0.07935172761073253,256,0.03149422762219965,0.7274036066495649,0.8522389448716223,100
41,1587566215.225216,4.605170249938965,11,0.00825,3,98,25,False,0.061025473743213675,32,0.04601908993753855,0.9252514293961588,0.9778726345057532,100
42,1587566352.180596,4.504939712524414,17,0.03875,2,65,63,False,0.5377608975445896,128,0.003145582087998471,0.5062706535824291,0.8145529795227691,100
43,1587566609.9784687,2.4297869348526,53,0.38799999999999996,3,166,23,True,0.4184203046967132,1024,0.00839464094114719,0.5265641762051723,0.995222289850146,100
44,1587566776.0195081,4.605062622070314,12,0.012,3,71,59,True,0.20785280285642327,1024,0.047475443475162055,0.9012644657105784,0.8020534502809071,100
45,1587566915.9483821,4.605170249938965,11,0.00825,2,113,48,True,0.4631923611648062,64,0.037625631562908136,0.7205962314753763,0.8251551172575978,100
46,1587567034.1536288,4.6051714057922375,14,0.00875,3,182,33,False,0.2231923030324724,512,0.04337072733225992,0.9735101826715998,0.9637284718719666,100
47,1587567136.800163,4.605170249938965,11,0.00825,2,118,22,False,0.1333032195043698,64,0.03639333440704799,0.6241023899595778,0.8212646394556314,100
48,1587567359.1684105,4.605170249938965,11,0.00825,2,217,54,True,0.5019157128497103,16,0.032476413003719895,0.9449551287850404,0.8196872357951102,100
49,1587567456.3539507,4.605170249938965,11,0.00825,2,243,31,False,0.23937987074547726,1024,0.022437510478053112,0.6165739656381447,0.9837115225415204,100
50,1587567585.3764484,4.605170249938965,11,0.00825,3,128,24,True,0.1258056651594051,128,0.04990246345791906,0.8350902717103293,0.9057305043638635,100
